CSHL_ID;CSHL_PREP_DATE;CSHL_PREP_USER_ID;CSHL_SALE_DATE;CSHL_SALE_USER_ID;CSHL_SUMMA;CSHL_PAID_SUMMA;CSHL_WAYPAYMENT;CSHL_CLI_ID;CSHL_FISKAL_ID;CSHL_STATUS;CSHL_ORDERNUMBER;CSHL_DISKT_ID;CSHL_ORDERCOMMENT;CSHL_CSHS_ID;CSHL_BEARER_NAME;CSHL_BEARER_TYPE;CSHL_FINANCELIST_ID;CSHL_FISKAL_V_ID;CSHL_FISKAL_NUMB;CSHL_STORNO_FISKAL;CSHL_STORNO_USER_ID;CSHL_STORNO_DATE;CSHL_STORNO_CSHL_ID;CSHL_BEARER_TRANZ_ID;CSHL_MANAGER_ID;CSHL_ADD_TNODID;CSHL_CLI_AMOUNT;CSHL_APPL_TYPE;CSHL_DISKT_COMMENT;CSHL_ACCOUNT_ID;CSHL_PREP_PSAL_ID;CSHL_PREP_DATE_END;CSHL_BONUS_TNODID;CSHL_BONUS_FINANCELIST_ID;CSHL_ORDERVIP;CSHL_ORG_ID;CSHL_PAYMENT_INFO;CSHL_WORK_STATUS;CSHL_BONUS_USE_FINANCELIST_ID;CSHL_REMOTE_PSAL_ID;CSHL_REMOTE_CSHS_ID;CSHL_REMOTE_DATE;CSHL_BONUS_INFO;CSHL_PREP_TMP_PSAL_ID;CSHL_REMOTE_DATE_CLI;CSHL_AGN_ID;CSHL_AGN_FINANCELIST_ID;
4085655;11/25/2018 12:00:19 AM;24;11/25/2018 12:00:19 AM;24;400;;8;;;0;4085655;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085657;11/25/2018 12:00:26 AM;24;11/25/2018 12:00:25 AM;24;400;;8;;;0;4085657;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085659;11/25/2018 12:00:32 AM;24;11/25/2018 12:00:31 AM;24;200;;8;;;0;4085659;;;4085654;;;0;;;;;;4091902;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085661;11/25/2018 12:00:41 AM;24;11/25/2018 12:00:40 AM;24;400;;8;;;0;4085661;;;4085654;;;0;;;;;;4091909;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085663;11/25/2018 12:01:16 AM;24;11/25/2018 12:01:16 AM;24;900;;8;;;0;4085663;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085665;11/25/2018 12:01:26 AM;24;11/25/2018 12:01:25 AM;24;900;;8;;;0;4085665;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085667;11/25/2018 12:01:31 AM;24;11/25/2018 12:01:30 AM;24;900;;8;;;0;4085667;;;4085654;;;0;;;;;;4088486;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085669;11/25/2018 12:01:49 AM;24;11/25/2018 12:01:49 AM;24;200;;8;;;0;4085669;;;4085654;;;0;;;;;;4088490;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085671;11/25/2018 12:01:56 AM;24;11/25/2018 12:01:55 AM;24;200;;8;;;0;4085671;;;4085654;;;0;;;;;;4088493;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085673;11/25/2018 12:02:01 AM;24;11/25/2018 12:02:00 AM;24;900;;8;;;0;4085673;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085675;11/25/2018 12:02:06 AM;24;11/25/2018 12:02:05 AM;24;900;;8;;;0;4085675;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085677;11/25/2018 12:02:11 AM;24;11/25/2018 12:02:10 AM;24;400;;8;;;0;4085677;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085679;11/25/2018 12:02:16 AM;24;11/25/2018 12:02:15 AM;24;200;;8;;;0;4085679;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085681;11/25/2018 12:02:21 AM;24;11/25/2018 12:02:20 AM;24;200;;8;;;0;4085681;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085683;11/25/2018 12:03:09 AM;24;11/25/2018 12:03:09 AM;24;400;;8;;;0;4085683;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085685;11/25/2018 12:03:16 AM;24;11/25/2018 12:03:15 AM;24;400;;8;;;0;4085685;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085687;11/25/2018 12:03:21 AM;24;11/25/2018 12:03:20 AM;24;900;;8;;;0;4085687;;;4085654;;;0;;;;;;4087482;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085689;11/25/2018 12:03:26 AM;24;11/25/2018 12:03:25 AM;24;400;;8;;;0;4085689;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085691;11/25/2018 12:04:10 AM;24;11/25/2018 12:04:09 AM;24;200;;8;;;0;4085691;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085693;11/25/2018 12:06:13 AM;24;11/25/2018 12:06:13 AM;24;400;;8;;;0;4085693;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085695;11/25/2018 12:09:59 AM;24;11/25/2018 12:09:59 AM;24;900;;8;;;0;4085695;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085697;11/25/2018 12:10:06 AM;24;11/25/2018 12:10:05 AM;24;900;;8;;;0;4085697;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085699;11/25/2018 12:11:03 AM;24;11/25/2018 12:11:03 AM;24;400;;8;;;0;4085699;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085701;11/25/2018 12:11:37 AM;24;11/25/2018 12:11:36 AM;24;400;;8;;;0;4085701;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085703;11/25/2018 12:13:23 AM;24;11/25/2018 12:13:23 AM;24;400;;8;;;0;4085703;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085705;11/25/2018 12:16:40 AM;24;11/25/2018 12:16:40 AM;24;900;;8;;;0;4085705;;;4085654;;;0;;;;;;4094162;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085707;11/25/2018 12:17:36 AM;24;11/25/2018 12:17:36 AM;24;400;;8;;;0;4085707;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085709;11/25/2018 12:18:47 AM;24;11/25/2018 12:18:47 AM;24;200;;8;;;0;4085709;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085711;11/25/2018 12:18:56 AM;24;11/25/2018 12:18:55 AM;24;200;;8;;;0;4085711;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085713;11/25/2018 12:19:01 AM;24;11/25/2018 12:19:00 AM;24;200;;8;;;0;4085713;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085715;11/25/2018 12:19:48 AM;24;11/25/2018 12:19:48 AM;24;900;;8;;;0;4085715;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085717;11/25/2018 12:19:56 AM;24;11/25/2018 12:19:55 AM;24;900;;8;;;0;4085717;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085719;11/25/2018 12:20:47 AM;24;11/25/2018 12:20:47 AM;24;400;;8;;;0;4085719;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085721;11/25/2018 12:21:00 AM;24;11/25/2018 12:20:59 AM;24;900;;8;;;0;4085721;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085723;11/25/2018 12:21:06 AM;24;11/25/2018 12:21:05 AM;24;900;;8;;;0;4085723;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085725;11/25/2018 12:21:11 AM;24;11/25/2018 12:21:11 AM;24;400;;8;;;0;4085725;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085727;11/25/2018 12:22:43 AM;24;11/25/2018 12:22:43 AM;24;200;;8;;;0;4085727;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085729;11/25/2018 12:23:40 AM;24;11/25/2018 12:23:39 AM;24;400;;8;;;0;4085729;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085731;11/25/2018 12:23:46 AM;24;11/25/2018 12:23:45 AM;24;400;;8;;;0;4085731;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085733;11/25/2018 12:26:10 AM;24;11/25/2018 12:26:09 AM;24;900;;8;;;0;4085733;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085735;11/25/2018 12:26:16 AM;24;11/25/2018 12:26:15 AM;24;900;;8;;;0;4085735;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085737;11/25/2018 12:27:07 AM;24;11/25/2018 12:27:07 AM;24;400;;8;;;0;4085737;;;4085654;;;0;;;;;;4085743;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085739;11/25/2018 12:31:59 AM;24;11/25/2018 12:31:58 AM;24;400;;8;;;0;4085739;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085741;11/25/2018 12:32:06 AM;24;11/25/2018 12:32:05 AM;24;400;;8;;;0;4085741;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085743;11/25/2018 12:32:09 AM;24;11/25/2018 12:32:09 AM;24;-400;;8;0;;4;;;;4085654;;;;;;;24;;;;;;;;;-1;;;;;;;;01;;;;;;;;;;
4085745;11/25/2018 12:32:11 AM;24;11/25/2018 12:32:10 AM;24;400;;8;;;0;4085745;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085747;11/25/2018 12:39:37 AM;24;11/25/2018 12:39:36 AM;24;200;;8;;;0;4085747;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085749;11/25/2018 12:40:40 AM;24;11/25/2018 12:40:39 AM;24;900;;8;;;0;4085749;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085751;11/25/2018 12:48:36 AM;24;11/25/2018 12:48:35 AM;24;900;;8;;;0;4085751;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085753;11/25/2018 12:48:41 AM;24;11/25/2018 12:48:40 AM;24;900;;8;;;0;4085753;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085755;11/25/2018 12:48:46 AM;24;11/25/2018 12:48:45 AM;24;900;;8;;;0;4085755;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085757;11/25/2018 12:48:51 AM;24;11/25/2018 12:48:50 AM;24;900;;8;;;0;4085757;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
4085759;11/25/2018 1:05:38 AM;24;11/25/2018 1:05:38 AM;24;900;;8;;;0;4085759;;;4085654;;;0;;;;;;;;;;;0;;0;;;;0;;-1;;;0;;;;;;;;;
